Census Block Group,count
4530327001.0,1
4530003042.0,1
4530022192.0,1
4530320006.0,1
4530006061.0,1
4530024302.0,1
4530014021.0,1
4530305001.0,1
4530014011.0,1
4530013083.0,1
4530415002.0,1
